doc_id,cluster_id
1,67
2,11
3,1
4,60
5,92
6,1
7,76
8,25
9,72
10,84
11,57
12,92
13,60
14,55
15,15
16,31
17,57
18,96
19,84
20,81
21,40
22,19
23,57
24,64
25,80
26,41
27,63
28,91
29,11
30,9
31,15
32,57
33,25
34,62
35,82
36,74
37,11
38,57
39,43
40,66
41,72
42,44
43,73
44,93
45,19
46,16
47,66
48,13
49,44
50,31
51,61
52,24
53,36
54,31
55,11
56,7
57,82
58,74
59,74
60,25
61,91
62,59
63,15
64,75
65,5
66,43
67,38
68,66
69,93
70,65
71,81
72,21
73,25
74,71
75,4
76,57
77,46
78,63
79,57
80,4
81,60
82,94
83,66
84,75
85,5
86,7
87,9
88,67
89,1
90,50
91,5
92,54
93,93
94,12
95,55
96,48
97,63
98,66
99,66
100,94
101,73
102,35
103,25
104,47
105,41
106,4
107,57
108,54
109,66
110,48
111,37
112,20
113,50
114,43
115,60
116,29
117,37
118,26
119,2
120,57
121,7
122,46
123,74
124,15
125,9
126,59
127,16
128,35
129,48
130,66
131,43
132,75
133,74
134,72
135,4
136,37
137,16
138,50
139,83
140,52
141,31
142,12
143,11
144,13
145,20
146,65
147,69
148,8
149,57
150,90
151,89
152,2
153,92
154,97
155,74
156,31
157,28
158,58
159,72
160,94
161,16
162,57
163,30
164,16
165,53
166,29
167,36
168,16
169,37
170,80
171,44
172,57
173,72
174,79
175,47
176,44
177,8
178,94
179,91
180,7
181,98
182,78
183,31
184,7
185,19
186,42
187,62
188,81
189,19
190,67
191,98
192,25
193,67
194,86
195,57
196,83
197,57
198,70
199,88
200,2
201,47
202,80
203,31
204,73
205,57
206,29
207,9
208,44
209,82
210,15
211,90
212,26
213,30
214,22
215,29
216,13
217,80
218,23
219,95
220,57
221,59
222,52
223,53
224,22
225,97
226,78
227,13
228,47
229,37
230,7
231,91
232,48
233,3
234,66
235,36
236,38
237,29
238,59
239,79
240,22
241,29
242,72
243,86
244,6
245,74
246,24
247,98
248,21
249,12
250,9
251,54
252,57
253,25
254,26
255,62
256,4
257,43
258,50
259,30
260,38
261,86
262,35
263,82
264,57
265,91
266,48
267,22
268,97
269,2
270,27
271,4
272,93
273,44
274,25
275,5
276,71
277,23
278,2
279,57
280,8
281,96
282,67
283,2
284,99
285,94
286,36
287,43
288,95
289,6
290,66
291,57
292,82
293,17
294,82
295,70
296,66
297,39
298,57
299,80
300,53
301,64
302,93
303,20
304,78
305,10
306,15
307,36
308,93
309,7
310,15
311,93
312,23
313,63
314,62
315,52
316,31
317,16
318,4
319,63
320,80
321,44
322,39
323,30
324,72
325,50
326,89
327,16
328,2
329,51
330,40
331,4
332,80
333,47
334,12
335,60
336,91
337,88
338,85
339,87
340,79
341,39
342,23
343,57
344,72
345,82
346,20
347,76
348,50
349,99
350,9
351,85
352,47
353,66
354,45
355,80
356,47
357,75
358,16
359,57
360,59
361,40
362,25
363,11
364,23
365,28
366,6
367,42
368,84
369,1
370,95
371,39
372,15
373,80
374,26
375,49
376,56
377,30
378,21
379,94
380,48
381,85
382,30
383,14
384,26
385,94
386,54
387,52
388,50
389,93
390,16
391,18
392,25
393,12
394,80
395,2
396,97
397,31
398,8
399,65
400,57
401,66
402,72
403,59
404,12
405,98
406,63
407,2
408,19
409,21
410,92
411,96
412,37
413,28
414,2
415,19
416,23
417,26
418,80
419,70
420,38
421,15
422,40
423,13
424,87
425,87
426,60
427,44
428,31
429,20
430,55
431,95
432,58
433,47
434,52
435,95
436,19
437,35
438,51
439,98
440,57
441,2
442,86
443,82
444,23
445,90
446,30
447,16
448,61
449,41
450,2
451,87
452,43
453,93
454,30
455,57
456,39
457,52
458,19
459,38
460,38
461,0
462,16
463,85
464,54
465,31
466,14
467,31
468,25
469,39
470,46
471,82
472,74
473,93
474,84
475,47
476,37
477,20
478,17
479,43
480,41
481,87
482,51
483,83
484,23
485,97
486,73
487,98
488,88
489,45
490,74
491,28
492,37
493,24
494,35
495,61
496,25
497,80
498,57
499,18
500,29
501,94
502,82
503,15
504,20
505,82
506,1
507,55
508,8
509,29
510,17
511,97
512,39
513,66
514,17
515,34
516,26
517,5
518,6
519,25
520,37
521,25
522,37
523,71
524,82
525,15
526,70
527,15
528,19
529,67
530,82
531,57
532,64
533,40
534,93
535,74
536,37
537,74
538,11
539,57
540,33
541,97
542,36
543,7
544,93
545,57
546,44
547,54
548,3
549,12
550,78
551,79
552,82
553,4
554,58
555,29
556,13
557,88
558,90
559,36
560,7
561,96
562,32
563,68
564,70
565,25
566,27
567,71
568,79
569,42
570,59
571,37
572,28
573,20
574,34
575,90
576,84
577,17
578,80
579,7
580,23
581,40
582,57
583,29
584,7
585,1
586,47
587,53
588,57
589,26
590,81
591,27
592,8
593,74
594,57
595,57
596,98
597,57
598,98
599,66
600,57
601,57
602,23
603,26
604,57
605,57
606,15
607,98
608,57
609,12
610,57
611,3
612,62
613,2
614,39
615,10
616,66
617,66
618,38
619,8
620,97
621,14
622,51
623,44
624,26
625,74
626,43
627,78
628,41
629,9
630,53
631,20
632,16
633,12
634,79
635,57
636,95
637,12
638,87
639,86
640,27
641,12
642,74
643,66
644,75
645,2
646,81
647,21
648,57
649,20
650,12
651,10
652,44
653,12
654,94
655,98
656,83
657,30
658,78
659,81
660,39
661,22
662,35
663,72
664,82
665,99
666,37
667,45
668,27
669,19
670,15
671,71
672,25
673,37
674,37
675,43
676,57
677,94
678,66
679,63
680,93
681,44
682,83
683,50
684,29
685,23
686,19
687,37
688,97
689,88
690,82
691,90
692,88
693,37
694,95
695,22
696,57
697,43
698,39
699,45
700,25
701,62
702,57
703,66
704,46
705,84
706,2
707,37
708,57
709,20
710,57
711,93
712,60
713,52
714,31
715,7
716,97
717,57
718,40
719,45
720,27
721,26
722,55
723,31
724,36
725,21
726,31
727,6
728,52
729,95
730,15
731,86
732,19
733,6
734,23
735,49
736,41
737,52
738,73
739,48
740,89
741,98
742,10
743,38
744,60
745,81
746,86
747,86
748,23
749,9
750,19
751,32
752,18
753,36
754,30
755,53
756,2
757,83
758,39
759,37
760,34
761,21
762,27
763,59
764,23
765,79
766,36
767,57
768,38
769,82
770,35
771,20
772,47
773,39
774,57
775,96
776,97
777,75
778,53
779,13
780,19
781,13
782,13
783,18
784,81
785,17
786,80
787,54
788,14
789,80
790,30
791,17
792,16
793,16
794,72
795,14
796,54
797,15
798,24
799,38
800,57
801,57
802,12
803,54
804,62
805,54
806,21
807,95
808,50
809,57
810,82
811,35
812,32
813,71
814,26
815,39
816,9
817,25
818,15
819,15
820,90
821,99
822,69
823,36
824,21
825,57
826,81
827,93
828,25
829,57
830,84
831,71
832,51
833,50
834,70
835,9
836,2
837,63
838,82
839,69
840,79
841,38
842,82
843,80
844,45
845,57
846,12
847,64
848,22
849,12
850,39
851,15
852,47
853,74
854,1
855,91
856,73
857,52
858,5
859,84
860,7
861,59
862,29
863,46
864,39
865,20
866,32
867,91
868,49
869,36
870,75
871,23
872,82
873,15
874,87
875,44
876,66
877,71
878,72
879,29
880,46
881,57
882,80
883,13
884,75
885,73
886,57
887,82
888,81
889,68
890,40
891,57
892,59
893,80
894,79
895,48
896,71
897,82
898,63
899,35
900,17
901,79
902,28
903,11
904,19
905,65
906,19
907,72
908,93
909,47
910,57
911,87
912,47
913,57
914,42
915,58
916,57
917,82
918,39
919,93
920,63
921,29
922,98
923,99
924,69
925,40
926,15
927,57
928,95
929,40
930,57
931,36
932,60
933,74
934,25
935,21
936,37
937,71
938,31
939,15
940,87
941,23
942,84
943,57
944,31
945,80
946,36
947,57
948,48
949,43
950,27
951,11
952,74
953,43
954,46
955,66
